Update,TotalEpisodes,SuccessCount,SuccessRate,AvgStartAlt_Success,StdStartAlt_Success,MinStartAlt_Success,MaxStartAlt_Success,AvgStartAlt_All
1361,29,15,51.724137931034484,4.48,0.6961937332996574,3.37,5.79,5.353103448275863
1362,24,11,45.83333333333333,4.85,0.8432081593533118,3.44,6.23,5.71625
1363,23,8,34.78260869565217,5.5725,1.1011649675295185,4.08,7.48,6.130869565217393
1364,15,8,53.333333333333336,4.61375,1.2563090782128414,3.16,7.14,4.941999999999999
1365,11,6,54.54545454545454,5.676666666666667,1.2083983890533232,4.53,7.27,5.973636363636363
1366,12,3,25.0,4.833333333333334,0.7419119444606168,4.4,5.69,5.889166666666667
1367,16,9,56.25,4.094444444444445,0.7093854930697256,3.26,5.67,4.8925
1368,13,7,53.84615384615385,4.741428571428571,0.7129616299032409,3.49,5.4,5.29
1369,8,3,37.5,4.406666666666666,1.4893734700649575,3.26,6.09,4.6575
1370,12,5,41.66666666666667,4.056,0.5781262837823583,3.46,4.77,4.960833333333334
1371,11,7,63.63636363636363,4.072857142857143,0.6351827633501579,3.24,5.22,4.454545454545454
1372,11,5,45.45454545454545,5.5280000000000005,1.1621832901913538,3.78,6.71,5.288181818181818
1373,11,7,63.63636363636363,4.452857142857143,0.8165519841731711,3.43,5.52,4.884545454545454
1374,6,1,16.666666666666664,4.9,,4.9,4.9,5.34
1375,16,6,37.5,4.191666666666667,0.38028498085865364,3.77,4.81,4.94125
1376,15,4,26.666666666666668,5.155,1.0554146104730595,3.94,6.34,5.581999999999999
1377,12,6,50.0,5.16,1.2098594959746356,4.15,7.07,5.686666666666667
1378,9,3,33.33333333333333,5.789999999999999,0.6894200461257274,5.02,6.35,6.232222222222223
1379,11,6,54.54545454545454,5.396666666666666,0.8529165648917054,4.34,6.86,5.381818181818182
1380,9,4,44.44444444444444,5.5649999999999995,1.5435996890385797,3.65,7.22,5.688888888888888
1381,10,6,60.0,5.503333333333334,0.5085928299402841,4.71,5.98,6.0040000000000004
1382,5,0,0.0,,,,,5.5920000000000005
1383,10,7,70.0,4.872857142857144,1.188159841740079,3.34,6.33,4.912000000000001
1384,8,2,25.0,7.07,0.537401153701776,6.69,7.45,5.19375
1385,7,5,71.42857142857143,4.416,0.95683331881786,3.48,5.94,4.857142857142857
1386,8,5,62.5,4.2139999999999995,0.4684335598566783,3.53,4.78,4.9475
1387,9,6,66.66666666666666,4.81,1.23468214533134,3.33,6.09,5.328888888888888
1388,12,3,25.0,5.16,1.1870973001401361,4.18,6.48,5.6933333333333325
1389,11,6,54.54545454545454,5.919999999999999,1.2625212869492537,4.25,7.3,5.656363636363636
1390,13,8,61.53846153846154,4.4262500000000005,0.8222779769813683,3.25,5.69,5.169230769230769
1391,14,8,57.14285714285714,4.9575,0.9127939839541324,3.58,6.18,5.617857142857142
1392,14,7,50.0,5.385714285714286,1.069187497477362,4.32,7.04,5.9750000000000005
1393,12,8,66.66666666666666,5.3412500000000005,1.0605583098403544,3.46,6.5,5.4174999999999995
1394,14,12,85.71428571428571,5.443333333333334,0.9110067690930366,3.69,6.97,5.619999999999999
1395,9,5,55.55555555555556,5.186,0.4893158489156058,4.64,5.72,5.346666666666668
1396,7,4,57.14285714285714,4.83,1.6362966316248,3.28,7.14,5.368571428571428
1397,10,8,80.0,4.875,1.1526615164169278,3.32,6.47,4.874
1398,8,7,87.5,5.87,1.4300582738709173,3.3,7.11,5.7
1399,8,4,50.0,6.7775,0.3604973416453072,6.37,7.11,6.01875
1400,8,4,50.0,6.34,1.099696927945756,4.76,7.1,6.47875
1401,9,5,55.55555555555556,5.726,1.1562568918713523,3.86,6.72,5.922222222222222
1402,7,3,42.857142857142854,5.18,1.5235484895466895,3.72,6.76,5.361428571428571
1403,10,6,60.0,5.256666666666666,1.562519333213726,3.27,7.0,5.331
1404,13,12,92.3076923076923,5.224166666666666,0.9214164820174064,3.75,6.69,5.322307692307693
1405,11,6,54.54545454545454,5.451666666666667,1.1914263160878504,3.77,6.67,5.890000000000001
1406,12,6,50.0,5.963333333333334,0.7978638146116585,5.26,7.38,5.5975
1407,8,4,50.0,4.8525,1.17287041057399,3.32,5.81,5.168749999999999
1408,15,8,53.333333333333336,5.63875,1.326988400207671,3.84,7.62,6.253333333333333
1409,1,0,0.0,,,,,4.3
